prs_PersoonsID,AfstandSchool,pcp_Regio,isc_VanDatum,isc_OpleidingsCode,LeeftijdMaandenEersteInschr,NrStdInEersteKlas,Geslacht,AantalOplVOORICAIngeschreven,PCertificaat_Opl,PropCertificaatDatum,HeeftP,VoorOpleidingsNiveau,HeeftWisInVooropleiding,Aanwezigheid1ejaar,EersteToetsCijfer,GemToetsCijferEerstePeriode,HeeftBijzOmstandigheden
499164,17,Arnhem,2015,ICT,210,25,Vrouw,1,ICT,6/27/2016,1,HAVO,1,84.7,59,67,0
499165,154,Noorden,2015,ICT,223,30,Man,1,Niet Behaald,0,0,HAVO,1,40.8,65,35,0
499166,6,Nijmegen,2016,ICT,227,26,Man,1,Niet Behaald,0,0,HAVO,1,47.7,36,41,0
499167,24,Doetinchem,2015,ICT,208,31,Man,1,ICT,6/30/2017,1,HAVO,1,69.4,84,66,0
499168,27,Zuiden,2015,ICT,224,25,Man,1,Niet Behaald,0,0,HAVO,1,55.4,76,67,0
499169,3,Nijmegen,2015,ICT,221,25,Vrouw,1,Niet Behaald,0,0,HAVO,1,79.5,52,55,0
499172,31,Utrecht,2015,ICT,212,34,Man,1,ICT,6/30/2017,1,HAVO,1,83.3,67,60,0
499173,17,Nijmegen,2015,ICT,219,31,Man,1,ICT,6/30/2017,1,HAVO,1,98.8,60,63,0
499174,2,Nijmegen,2015,ICT,207,28,Man,1,Niet Behaald,0,0,HAVO,1,82.2,71,53,0
499175,26,Veenendaal,2015,ICT,245,34,Man,1,ICT,6/30/2017,1,MBO,?,94.7,76,63,0
499176,39,Doetinchem,2016,ICT,221,27,Man,1,ICT,6/27/2018,1,HAVO,1,86.2,82,62,0
499177,25,Apeldoorn,2015,ICT,214,34,Man,1,Niet Behaald,0,0,HAVO,1,32.9,80,63,0
499179,1,Nijmegen,2015,ICT,208,26,Man,1,ICT,6/27/2016,1,HAVO,1,75.0,82,71,0
499180,9,Nijmegen,2015,ICT,214,34,Man,1,ICT,6/27/2016,1,HAVO,1,95.5,84,56,0
499181,12,Nijmegen,2015,ICT,254,25,Man,1,ICT,6/30/2017,1,MBO,?,89.2,65,61,0
499182,5,Arnhem,2015,ICT,200,29,Man,1,ICT,6/27/2016,1,HAVO,1,95.4,69,66,0
499183,2,Nijmegen,2015,ICT,250,25,Man,1,Niet Behaald,0,0,MBO,?,91.0,79,53,1
499184,6,Arnhem,2015,ICT,210,32,Man,1,Niet Behaald,0,0,HAVO,1,71.9,79,57,0
499185,8,Nijmegen,2015,ICT,226,31,Man,1,Niet Behaald,0,0,HAVO,1,96.8,87,66,0
499186,60,Den Bosch Eindhoven,2015,ICT,259,30,Man,1,CMD,6/30/2017,1,MBO,?,70.9,56,54,0
499187,20,Ede Wageningen,2015,ICT,209,29,Man,1,ICT,6/30/2017,1,HAVO,1,75.7,69,57,0
499188,20,Ede Wageningen,2015,ICT,218,30,Man,1,CMD,6/27/2018,1,HAVO,1,73.6,67,60,0
499189,6,Zevenaar,2015,ICT,265,32,Man,1,Niet Behaald,0,0,MBO,?,93.8,67,63,0
499190,0,Nijmegen,2015,ICT,214,27,Man,1,ICT,6/30/2017,1,HAVO,1,96.6,60,63,0
499192,31,Utrecht,2015,ICT,204,30,Man,1,Niet Behaald,0,0,HAVO,1,92.9,65,58,0
499193,19,Nijmegen,2015,ICT,215,30,Man,1,Niet Behaald,0,0,HAVO,1,41.3,68,61,0
499195,28,Doetinchem,2015,ICT,207,29,Man,1,ICT,6/27/2016,1,HAVO,1,94.2,94,80,1
499197,4,Nijmegen,2015,ICT,267,22,Man,1,Niet Behaald,0,0,MBO,?,66.9,65,46,0
499199,26,Noord Gld Overijssel,2015,ICT,220,30,Man,1,CMD,6/30/2017,1,HAVO,1,45.0,76,76,0
499200,8,Nijmegen,2015,ICT,204,29,Man,1,ICT,6/27/2016,1,HAVO,1,75.9,89,71,0
499201,28,Doetinchem,2015,ICT,220,31,Man,1,Niet Behaald,0,0,HAVO,1,90.1,39,45,0
499202,4,Nijmegen,2015,ICT,216,31,Vrouw,1,ICT,6/30/2017,1,HAVO,1,92.7,86,67,0
499203,19,Doetinchem,2016,ICT,218,27,Man,1,ICT,6/27/2018,1,HAVO,1,89.2,77,65,0
499204,14,Nijmegen,2015,ICT,226,34,Man,1,ICT,6/30/2017,1,HAVO,1,96.6,92,68,0
499206,67,Noord Gld Overijssel,2015,ICT,212,29,Man,1,ICT,6/27/2016,1,HAVO,1,79.1,83,75,0
499207,26,Veenendaal,2015,ICT,242,34,Man,1,ICT,6/27/2016,1,MBO,?,98.9,92,78,0
499208,28,Apeldoorn,2015,ICT,201,29,Man,1,ICT,6/30/2017,1,HAVO,1,58.7,52,67,0
499209,3,Nijmegen,2015,ICT,223,27,Man,1,ICT,6/27/2016,1,HAVO,1,83.1,95,67,0
499210,9,Zevenaar,2015,ICT,284,29,Man,1,ICT,6/30/2017,1,MBO,?,69.2,71,61,0
499211,35,Zuiden,2015,ICT,228,31,Man,1,ICT,6/27/2016,1,MBO,?,85.6,90,72,1
499216,17,Arnhem,2015,ICT,212,31,Man,1,Niet Behaald,0,0,HAVO,1,45.0,82,66,0
499235,58,Zuiden,2015,ICT,209,22,Man,1,ICT,6/27/2016,1,HAVO,1,97.7,70,64,0
499240,0,Arnhem,2016,ICT,248,27,Man,2,Niet Behaald,0,0,MBO,?,45.8,92,62,0
499241,19,Ede Wageningen,2015,ICT,237,34,Man,1,Niet Behaald,0,0,HAVO,1,72.6,81,69,0
499243,14,Arnhem,2018,ICT,257,31,Man,2,Niet Behaald,0,0,HAVO,1,78.7,80,63,0
499255,17,Nijmegen,2015,ICT,211,31,Man,1,Niet Behaald,0,0,HAVO,1,45.7,58,65,1
499258,162,Zuiden,2015,ICT,248,27,Man,1,ICT,6/30/2017,1,VWO,1,63.6,80,82,0
499259,27,Den Bosch Eindhoven,2015,ICT,237,27,Man,1,ICT,6/27/2016,1,HAVO,1,95.5,77,69,0
499261,5,Arnhem,2015,ICT,220,31,Man,1,ICT,6/30/2017,1,HAVO,1,93.5,43,59,1
499277,14,Nijmegen,2015,ICT,219,31,Man,1,Niet Behaald,0,0,HAVO,1,93.8,68,45,1
499279,1,Nijmegen,2015,ICT,219,31,Man,1,Niet Behaald,0,0,HAVO,1,88.7,50,44,0
499280,13,Zevenaar,2015,ICT,253,30,Man,1,ICT,6/27/2016,1,MBO,?,93.5,84,74,1
499282,22,Apeldoorn,2015,ICT,223,29,Man,1,ICT,6/27/2016,1,HAVO,1,84.6,78,76,0
499290,1,Nijmegen,2015,ICT,218,31,Man,1,Niet Behaald,0,0,HAVO,1,27.5,46,48,0
499292,3,Nijmegen,2015,ICT,237,26,Man,1,ICT,6/30/2017,1,HAVO,1,94.5,61,62,0
499298,42,Deventer,2015,ICT,217,31,Man,1,ICT,6/30/2017,1,HAVO,1,95.1,58,72,0
499306,10,Nijmegen,2015,ICT,200,31,Man,1,ICT,6/27/2016,1,HAVO,1,80.3,88,68,0
499309,136,Noorden,2015,ICT,211,31,Man,1,Niet Behaald,0,0,HAVO,1,91.5,69,55,0
499311,6,Arnhem,2015,ICT,262,30,Man,1,CMD,6/30/2017,1,MBO,?,62.5,43,38,0
499318,31,Noord Gld Overijssel,2015,ICT,206,34,Man,1,ICT,6/27/2016,1,HAVO,1,97.3,88,65,1
499320,26,Ede Wageningen,2016,ICT,234,27,Man,1,ICT,6/30/2017,1,HAVO,1,71.3,72,62,1
499335,16,Nijmegen,2015,ICT,237,31,Man,1,Niet Behaald,0,0,HAVO,1,93.8,46,42,0
499345,87,Westen,2015,ICT,220,34,Man,1,ICT,6/30/2017,1,HAVO,1,91.9,83,62,1
499370,6,Arnhem,2015,ICT,214,31,Man,1,Niet Behaald,0,0,HAVO,1,94.4,83,67,0
499371,3,Nijmegen,2015,ICT,240,28,Man,1,Niet Behaald,0,0,HAVO,1,45.6,83,63,0
499372,28,Doetinchem,2015,ICT,219,31,Man,1,Niet Behaald,0,0,HAVO,1,80.3,90,66,1
499376,1,Nijmegen,2015,ICT,222,22,Man,1,CMD,6/27/2018,1,HAVO,1,87.5,80,57,0
499378,46,Winterswijk,2015,ICT,251,30,Man,1,Niet Behaald,0,0,MBO,?,50.0,29,41,0
499389,9,Zevenaar,2015,ICT,291,30,Man,1,Niet Behaald,0,0,MBO,?,5.6,0,0,0
499391,27,Veenendaal,2015,ICT,210,30,Man,1,Niet Behaald,0,0,HAVO,1,33.3,73,38,0
499399,1,Nijmegen,2016,ICT,259,27,Vrouw,1,ICT,6/30/2017,1,MBO,?,80.0,58,73,0
499401,6,Zevenaar,2015,ICT,228,34,Man,1,ICT,6/30/2017,1,HAVO,1,94.6,56,56,1
499409,7,Arnhem,2017,ICT,242,23,Man,2,ICT,6/26/2019,1,HAVO,1,71.6,61,61,0
499412,12,Den Bosch Eindhoven,2015,ICT,242,22,Man,1,Niet Behaald,0,0,HAVO,1,53.7,47,37,0
499413,1,Nijmegen,2015,ICT,221,29,Man,1,ICT,6/30/2017,1,HAVO,1,87.7,73,59,0
499420,17,Doetinchem,2015,ICT,247,30,Man,1,Niet Behaald,0,0,MBO,?,37.0,24,52,0
499424,23,Utrecht,2015,ICT,254,30,Man,1,ICT,6/30/2017,1,HAVO,1,93.3,73,68,0
499425,2,Arnhem,2015,ICT,218,30,Man,1,Niet Behaald,0,0,HAVO,1,30.9,68,59,0
499446,21,Ede Wageningen,2015,ICT,231,31,Man,1,ICT,6/27/2016,1,HAVO,1,97.7,85,81,0
499453,10,Nijmegen,2015,ICT,205,25,Man,1,ICT,6/30/2017,1,HAVO,1,95.7,63,51,0
499456,59,Noorden,2015,ICT,219,26,Man,1,Niet Behaald,0,0,HAVO,1,28.4,72,48,1
499457,19,Ede Wageningen,2016,ICT,222,24,Man,1,Niet Behaald,0,0,HAVO,1,55.8,65,58,0
499485,17,Zevenaar,2016,ICT,232,31,Man,2,Niet Behaald,0,0,HAVO,1,86.5,66,66,0
499507,39,Zuiden,2015,ICT,318,26,Man,1,Niet Behaald,0,0,MBO,?,21.0,32,31,0
499511,4,Nijmegen,2015,ICT,206,31,Man,1,Niet Behaald,0,0,HAVO,1,74.4,73,49,0
499518,26,Apeldoorn,2015,ICT,207,29,Man,1,ICT,6/27/2016,1,HAVO,1,97.1,87,78,0
499521,6,Arnhem,2015,ICT,264,30,Man,1,CMD,6/30/2017,1,MBO,?,59.3,27,52,0
499527,1,Nijmegen,2015,ICT,215,25,Man,1,Niet Behaald,0,0,HAVO,1,54.7,94,70,0
499528,51,Utrecht,2015,ICT,218,27,Man,1,Niet Behaald,0,0,HAVO,1,80.6,92,59,0
499532,7,Nijmegen,2015,ICT,211,25,Man,1,ICT,6/27/2016,1,HAVO,1,94.4,79,62,0
499533,27,Veenendaal,2015,ICT,239,30,Man,1,Niet Behaald,0,0,HAVO,0,5.6,43,43,0
499534,24,Doetinchem,2015,ICT,294,32,Man,1,Niet Behaald,0,0,MBO,?,46.9,47,43,0
499542,22,Apeldoorn,2015,ICT,226,31,Man,1,ICT,6/27/2016,1,HAVO,1,100.0,85,68,0
499556,21,Zuiden,2015,ICT,274,25,Man,1,ICT,6/30/2017,1,MBO,?,77.7,76,65,0
499561,51,Deventer,2015,ICT,212,31,Man,1,Niet Behaald,0,0,HAVO,1,82.4,82,44,0
499562,22,Apeldoorn,2015,ICT,207,30,Man,1,Niet Behaald,0,0,HAVO,1,71.2,49,46,0
499563,51,Deventer,2015,ICT,243,26,Man,1,Niet Behaald,0,0,HAVO,1,2.5,0,0,0
499577,21,Ede Wageningen,2015,ICT,209,31,Man,1,ICT,6/27/2016,1,HAVO,1,94.2,82,74,0
499588,14,Arnhem,2015,ICT,219,25,Man,1,Niet Behaald,0,0,HAVO,1,69.7,69,57,0
499591,33,Veenendaal,2015,ICT,204,30,Man,1,Niet Behaald,0,0,HAVO,1,82.2,72,46,0
499594,112,Westen,2015,ICT,220,31,Man,1,Niet Behaald,0,0,HAVO,1,87.3,64,57,0
499598,30,Veenendaal,2015,ICT,259,25,Man,1,ICT,6/30/2017,1,HAVO,0,88.7,60,56,0
499600,15,Nijmegen,2015,ICT,217,25,Man,1,ICT,6/27/2016,1,HAVO,1,95.7,64,59,0
499606,1,Nijmegen,2015,ICT,218,26,Man,1,Niet Behaald,0,0,VWO,1,74.1,88,71,0
499609,4,Arnhem,2015,ICT,252,34,Man,1,ICT,6/30/2017,1,MBO,?,89.3,90,70,1
499619,29,Apeldoorn,2015,ICT,211,31,Man,1,ICT,6/27/2016,1,HAVO,1,84.8,74,61,1
499625,1,Nijmegen,2015,ICT,213,26,Man,1,Niet Behaald,0,0,HAVO,1,90.3,82,53,0
499631,20,Ede Wageningen,2015,ICT,249,30,Man,1,ICT,6/30/2017,1,HAVO,1,24.3,62,67,0
499633,25,Apeldoorn,2015,ICT,260,30,Man,1,Niet Behaald,0,0,HAVO,1,61.5,68,51,0
499638,63,Deventer,2015,ICT,269,25,Man,1,ICT,6/30/2017,1,MBO,?,34.2,32,61,0
499644,9,Zevenaar,2016,ICT,223,36,Man,2,ICT,6/30/2017,1,HAVO,1,40.6,89,76,0
499646,15,Zevenaar,2015,ICT,215,29,Man,1,ICT,6/30/2017,1,HAVO,1,88.5,90,60,0
499655,25,Den Bosch Eindhoven,2015,ICT,223,25,Man,1,Niet Behaald,0,0,HAVO,1,31.4,86,52,0
499656,21,Ede Wageningen,2015,ICT,206,31,Man,1,ICT,6/27/2016,1,HAVO,1,97.5,88,69,0
499661,4,Nijmegen,2016,ICT,239,31,Man,2,ICT,6/27/2018,1,HAVO,1,67.9,83,67,0
499664,4,Arnhem,2015,ICT,226,34,Man,1,ICT,6/30/2017,1,HAVO,1,94.1,66,58,0
499671,78,Zuiden,2015,ICT,206,30,Man,1,Niet Behaald,0,0,HAVO,1,83.9,79,60,0
499679,5,Nijmegen,2015,ICT,221,26,Man,1,Niet Behaald,0,0,HAVO,1,33.3,86,71,0
499683,26,Apeldoorn,2016,ICT,224,31,Man,2,Niet Behaald,0,0,HAVO,1,53.7,93,53,0
499693,0,Nijmegen,2015,ICT,235,25,Man,1,ICT,6/30/2017,1,HAVO,1,90.3,48,66,0
499694,4,Nijmegen,2015,ICT,219,27,Man,1,ICT,6/30/2017,1,HAVO,1,70.1,86,64,0
499708,1,Nijmegen,2016,ICT,214,31,Man,2,Niet Behaald,0,0,HAVO,1,62.4,46,51,0
499719,25,Noord Gld Overijssel,2015,ICT,248,31,Man,1,Niet Behaald,0,0,MBO,?,86.1,54,56,1
499722,25,Ede Wageningen,2015,ICT,275,25,Man,1,ICT,6/27/2016,1,MBO,?,89.4,76,78,0
499724,34,Doetinchem,2015,ICT,230,26,Man,1,ICT,6/27/2016,1,VWO,1,43.3,72,64,0
499730,5,Nijmegen,2015,ICT,225,31,Man,1,Niet Behaald,0,0,HAVO,1,84.0,87,51,0
499732,8,Nijmegen,2015,ICT,238,27,Man,1,ICT,6/27/2016,1,HAVO,1,96.1,98,88,0
499734,20,Zevenaar,2015,ICT,229,31,Man,1,Niet Behaald,0,0,HAVO,1,69.0,65,49,0
499737,6,Arnhem,2016,ICT,222,31,Man,1,Niet Behaald,0,0,HAVO,1,74.0,52,56,0
499739,23,Den Bosch Eindhoven,2015,ICT,235,22,Man,1,Niet Behaald,0,0,HAVO,1,33.1,77,66,0
499740,5,Nijmegen,2015,ICT,230,25,Man,1,ICT,6/27/2016,1,VWO,1,58.2,80,83,0
499743,29,Utrecht,2015,ICT,205,30,Man,1,Niet Behaald,0,0,HAVO,1,87.5,82,61,0
499750,3,Arnhem,2015,ICT,249,30,Man,1,Niet Behaald,0,0,MBO,?,7.3,50,54,0
499757,6,Arnhem,2015,ICT,205,34,Man,1,ICT,6/30/2017,1,HAVO,1,97.8,79,64,0
499759,6,Zevenaar,2015,ICT,239,31,Man,1,Niet Behaald,0,0,HAVO,1,71.8,82,57,0
499768,20,Ede Wageningen,2015,ICT,208,29,Man,1,Niet Behaald,0,0,HAVO,1,40.6,86,67,0
499778,89,Westen,2015,ICT,234,29,Man,1,Niet Behaald,0,0,MBO,?,66.7,69,55,0
499781,0,Arnhem,2015,ICT,212,30,Man,1,Niet Behaald,0,0,HAVO,1,52.7,72,58,0
499784,4,Arnhem,2016,ICT,220,24,Vrouw,1,ICT,6/27/2018,1,HAVO,1,69.8,77,73,0
499802,14,Nijmegen,2015,ICT,234,30,Man,1,Niet Behaald,0,0,VWO,?,46.6,68,65,0
499805,2,Arnhem,2016,ICT,239,27,Man,1,ICT,6/30/2017,1,VWO,1,84.0,90,63,0
499825,2,Nijmegen,2015,ICT,217,26,Man,1,Niet Behaald,0,0,HAVO,1,12.3,90,90,0
499848,80,Zuiden,2015,ICT,222,27,Man,1,Niet Behaald,0,0,HAVO,1,70.7,77,46,0
499850,26,Apeldoorn,2015,ICT,256,15,Man,1,Niet Behaald,0,0,MBO,?,79.1,68,66,0
499859,12,Den Bosch Eindhoven,2015,ICT,228,28,Man,1,Niet Behaald,0,0,HAVO,1,44.4,46,56,0
499863,35,Zuiden,2015,ICT,251,31,Man,1,Niet Behaald,0,0,MBO,?,82.7,73,55,0
499893,12,Den Bosch Eindhoven,2015,ICT,297,31,Man,1,Niet Behaald,0,0,MBO,?,83.8,56,49,0
499907,102,Westen,2015,ICT,237,31,Man,1,Niet Behaald,0,0,VWO,1,91.7,98,80,0
499914,5,Arnhem,2015,ICT,208,34,Man,1,ICT,6/30/2017,1,HAVO,1,84.3,82,58,0
499923,3,Arnhem,2015,ICT,230,31,Man,1,ICT,6/30/2017,1,HAVO,1,69.6,84,66,0
499945,20,Ede Wageningen,2015,ICT,240,30,Man,1,Niet Behaald,0,0,MBO,?,63.0,60,53,0
499955,4,Nijmegen,2015,ICT,269,25,Man,1,Niet Behaald,0,0,HAVO,1,57.9,58,59,0
499956,20,Ede Wageningen,2015,ICT,267,29,Man,1,ICT,6/27/2016,1,HAVO,1,89.6,69,77,0
499958,12,Den Bosch Eindhoven,2015,ICT,248,22,Man,1,Niet Behaald,0,0,HAVO,1,74.8,69,48,0
499961,3,Arnhem,2015,ICT,226,29,Man,1,ICT,6/27/2018,1,HAVO,1,35.5,80,58,0
499969,1,Arnhem,2015,ICT,212,30,Man,1,Niet Behaald,0,0,HAVO,1,14.5,28,28,0
499973,28,Noord Gld Overijssel,2015,ICT,225,34,Man,1,Niet Behaald,0,0,HAVO,1,54.8,66,55,0
499977,12,Zevenaar,2015,ICT,249,31,Man,1,ICT,6/27/2016,1,MBO,?,89.4,50,76,0
499984,6,Nijmegen,2016,ICT,254,26,Man,1,Niet Behaald,0,0,HAVO,1,61.0,61,51,0
500016,14,Arnhem,2015,ICT,229,30,Man,1,Niet Behaald,0,0,HAVO,1,27.4,48,61,0
500028,28,Doetinchem,2015,ICT,392,30,Man,1,Niet Behaald,0,0,Anders,?,69.1,33,41,0
500049,26,Apeldoorn,2015,ICT,222,34,Man,1,ICT,6/30/2017,1,VWO,1,95.5,78,67,0
500054,29,Den Bosch Eindhoven,2015,ICT,220,27,Man,1,Niet Behaald,0,0,HAVO,1,61.8,68,56,0
500069,6,Arnhem,2015,ICT,253,31,Man,1,Niet Behaald,0,0,MBO,?,76.4,29,48,0
500072,9,Nijmegen,2015,ICT,227,29,Man,1,Niet Behaald,0,0,HAVO,1,70.5,77,49,0
500075,54,Zuiden,2015,ICT,235,34,Man,1,Niet Behaald,0,0,HAVO,1,57.6,78,59,0
500098,109,Westen,2015,ICT,293,22,Man,1,Niet Behaald,0,0,Buitenlands,?,83.7,33,36,0
500106,25,Ede Wageningen,2015,ICT,261,26,Man,1,ICT,6/27/2016,1,VWO,1,82.6,88,81,0
500140,34,Deventer,2016,ICT,270,28,Man,1,Niet Behaald,0,0,MBO,?,2.7,0,0,0
500150,0,Nijmegen,2015,ICT,261,25,Man,1,Niet Behaald,0,0,VWO,1,54.7,60,79,0
500160,2,Nijmegen,2015,ICT,210,29,Man,1,Niet Behaald,0,0,HAVO,1,25.3,48,45,0
500168,23,Zevenaar,2016,ICT,252,24,Man,1,Niet Behaald,0,0,MBO,?,30.4,68,44,0
500176,25,Noord Gld Overijssel,2016,ICT,224,26,Man,1,Niet Behaald,0,0,HAVO,1,94.2,96,64,0
500186,10,Nijmegen,2015,ICT,280,22,Vrouw,1,Niet Behaald,0,0,HAVO,0,24.0,28,59,0
500215,14,Zevenaar,2015,ICT,220,30,Man,1,Niet Behaald,0,0,HAVO,1,53.6,70,57,0
500220,24,Doetinchem,2015,ICT,241,29,Man,1,ICT,6/30/2017,1,MBO,?,38.7,60,52,0
500222,36,Doetinchem,2015,ICT,260,30,Man,1,Niet Behaald,0,0,MBO,?,71.4,81,50,0
500223,3,Arnhem,2015,ICT,312,34,Man,1,ICT,6/30/2017,1,MBO,?,78.7,36,51,0
500238,14,Arnhem,2015,ICT,226,31,Man,1,Niet Behaald,0,0,HAVO,1,65.8,66,63,0
