prs_PersoonsID,AfstandSchool,pcp_Regio,isc_VanDatum,isc_OpleidingsCode,LeeftijdMaandenEersteInschr,NrStdInEersteKlas,Geslacht,AantalOplVOORICAIngeschreven,PCertificaat_Opl,PropCertificaatDatum,HeeftP,VoorOpleidingsNiveau,HeeftWisInVooropleiding,Aanwezigheid1ejaar,EersteToetsCijfer,GemToetsCijferEerstePeriode,HeeftBijzOmstandigheden
503509,4,Nijmegen,9/1/2016,ICT,206,24,Man,1,ICT,6/27/2018,1,HAVO,1,97.9,38,63,0
503529,27,Veenendaal,9/1/2016,ICT,220,31,Man,1,Niet Behaald,0,0,HAVO,1,45.9,50,47,0
503531,14,Nijmegen,9/1/2016,CMD,219,25,Man,2,Niet Behaald,0,0,HAVO,1,3.1,0,0,0
503533,5,Arnhem,9/1/2017,ICT,235,25,Man,1,Niet Behaald,0,0,HAVO,1,14.1,74,74,0
503536,5,Arnhem,9/1/2016,CMD,347,28,Vrouw,1,CMD,6/30/2017,1,Anders,?,67.4,78,81,0
503545,34,Deventer,9/1/2016,CMD,264,26,Vrouw,1,Niet Behaald,0,0,HAVO,1,56.7,81,77,0
503564,26,Ede Wageningen,9/1/2017,CMD,229,28,Man,1,CMD,6/27/2018,1,HAVO,1,66.0,70,68,0
503580,101,Westen,9/1/2016,CMD,256,27,Vrouw,1,Niet Behaald,0,0,MBO,?,65.0,70,62,0
503582,1,Arnhem,9/1/2017,ICT,284,26,Man,1,ICT,6/27/2018,1,Anders,?,100.0,79,78,0
503589,0,Nijmegen,9/1/2016,ICT,295,25,Man,1,Niet Behaald,0,0,Anders,?,72.0,83,40,1
503590,32,Den Bosch Eindhoven,9/1/2016,ICT,211,26,Man,1,Niet Behaald,0,0,HAVO,1,98.2,63,55,1
503594,8,Arnhem,9/1/2016,CMD,225,28,Man,1,CMD,7/8/2019,1,HAVO,1,94.1,65,56,1
503600,12,Nijmegen,9/1/2016,ICT,214,26,Man,1,Niet Behaald,0,0,HAVO,1,69.7,60,56,0
503605,29,Zuiden,9/1/2016,ICT,268,25,Man,1,Niet Behaald,0,0,MBO,?,40.7,18,40,0
503615,12,Den Bosch Eindhoven,9/1/2017,ICT,241,30,Man,1,Niet Behaald,0,0,HAVO,1,43.4,66,49,0
503676,44,Amersfoort,9/1/2016,CMD,235,27,Vrouw,1,CMD,6/30/2017,1,VWO,1,86.2,70,70,0
503677,5,Nijmegen,9/1/2016,ICT,235,26,Man,1,ICT,6/30/2017,1,MBO,?,63.6,82,69,0
503691,20,Nijmegen,9/1/2016,ICT,262,27,Man,1,Niet Behaald,0,0,MBO,?,3.9,0,0,0
503697,35,Veenendaal,9/1/2016,CMD,288,28,Vrouw,1,Niet Behaald,0,0,MBO,?,18.1,0,0,0
503714,20,Doetinchem,9/1/2016,CMD,219,25,Vrouw,1,CMD,6/30/2017,1,HAVO,1,85.6,49,66,0
