prs_PersoonsID,AfstandSchool,pcp_Regio,isc_VanDatum,isc_OpleidingsCode,LeeftijdMaandenEersteInschr,NrStdInEersteKlas,Geslacht,AantalOplVOORICAIngeschreven,PCertificaat_Opl,PropCertificaatDatum,HeeftP,VoorOpleidingsNiveau,HeeftWisInVooropleiding,Aanwezigheid1ejaar,EersteToetsCijfer,GemToetsCijferEerstePeriode,HeeftBijzOmstandigheden
456301,20,Nijmegen,2015,CMD,264,30,Man,2,CMD,6/30/2017,1,MBO,?,67.9,80,56,?
456362,47,Winterswijk,2014,CMD,238,29,Vrouw,1,CMD,6/30/2015,1,HAVO,1,94.9,80,72,?
456867,19,Nijmegen,2015,CMD,267,29,Man,2,CMD,6/27/2016,1,HAVO,1,93.0,80,64,?
457605,42,Winterswijk,2014,CMD,218,27,Vrouw,2,CMD,6/27/2016,1,HAVO,1,55.6,90,84,?
458501,29,Doetinchem,2014,CMD,227,27,Man,2,Niet Behaald,0,0,HAVO,1,80.4,62,62,?
458728,27,Apeldoorn,2013,CMD,227,23,Man,3,INF,7/1/2014,1,HAVO,1,50.0,68,60,?
459460,29,Doetinchem,2014,CMD,212,35,Vrouw,2,CMD,6/30/2015,1,HAVO,1,83.3,85,79,?
461094,4,Arnhem,2014,CMD,273,35,Man,2,CMD,6/27/2016,1,MBO,0,76.7,50,68,?
461431,1,Arnhem,2014,CMD,244,26,Man,2,CMD,6/27/2016,1,HAVO,1,60.0,62,62,?
461759,25,Apeldoorn,2014,CMD,211,35,Vrouw,2,CMD,6/30/2015,1,HAVO,1,74.4,60,68,?
461891,25,Nijmegen,2014,CMD,216,26,Man,3,CMD,6/30/2015,1,HAVO,1,71.1,55,55,?
462224,13,Arnhem,2017,CMD,280,30,Man,2,CMD,6/27/2018,1,HAVO,1,78.9,95,91,0
462926,20,Ede Wageningen,2014,CMD,234,29,Man,1,Niet Behaald,0,0,HAVO,1,86.1,80,48,?
463066,30,Veenendaal,2014,CMD,211,22,Man,1,CMD,6/30/2015,1,HAVO,1,46.7,70,65,?
463083,20,Nijmegen,2016,CMD,258,30,Man,2,Niet Behaald,0,0,HAVO,1,3.2,64,67,0
463293,0,Arnhem,2014,CMD,264,18,Vrouw,1,CMD,6/30/2015,1,MBO,?,83.3,80,70,?
463499,12,Zevenaar,2014,CMD,279,24,Man,1,Niet Behaald,0,0,MBO,?,57.4,52,55,?
463632,6,Arnhem,2014,CMD,257,35,Man,4,CMD,6/30/2015,1,MBO,?,62.8,50,65,?
464063,16,Nijmegen,2016,CMD,239,31,Man,3,Niet Behaald,0,0,HAVO,1,0.0,0,0,0
464283,2,Arnhem,2016,CMD,260,26,Man,1,CMD,6/27/2018,1,HAVO,1,54.4,77,65,0
464464,2,Arnhem,2014,CMD,242,26,Man,1,Niet Behaald,0,0,VWO,1,47.4,65,65,?
464697,5,Arnhem,2014,CMD,231,27,Man,3,CMD,6/27/2016,1,HAVO,1,84.8,76,71,?
464733,14,Arnhem,2014,CMD,224,26,Vrouw,1,CMD,6/30/2015,1,HAVO,1,47.4,55,55,?
464926,2,Arnhem,2014,CMD,243,26,Vrouw,2,CMD,6/30/2017,1,HAVO,1,68.4,66,56,?
465202,24,Nijmegen,2014,CMD,282,35,Man,1,Niet Behaald,0,0,MBO,?,5.3,40,54,?
465206,30,Veenendaal,2014,CMD,217,26,Man,2,CMD,2/29/2016,1,HAVO,1,55.3,55,55,?
465452,16,Nijmegen,2014,CMD,275,27,Man,2,CMD,6/30/2015,1,MBO,?,86.1,70,71,?
465627,10,Nijmegen,2015,CMD,232,27,Man,2,Niet Behaald,0,0,HAVO,1,61.8,83,58,0
465865,14,Nijmegen,2015,CMD,224,29,Vrouw,1,CMD,6/27/2016,1,HAVO,1,83.3,90,73,?
466204,14,Arnhem,2014,CMD,275,35,Man,2,Niet Behaald,0,0,MBO,?,57.1,50,51,?
466603,16,Nijmegen,2015,CMD,234,28,Man,2,Niet Behaald,0,0,HAVO,1,21.0,72,62,0
467139,17,Nijmegen,2014,CMD,223,24,Man,4,CMD,6/30/2015,1,HAVO,1,68.5,86,71,?
467241,19,Nijmegen,2014,CMD,220,35,Man,2,CMD,6/30/2015,1,HAVO,1,72.1,70,69,?
467551,16,Nijmegen,2014,CMD,252,27,Man,2,CMD,6/30/2015,1,MBO,?,87.0,73,73,?
467571,2,Arnhem,2014,CMD,305,35,Man,2,CMD,6/27/2016,1,HAVO,0,81.8,75,72,?
468450,18,Nijmegen,2014,CMD,271,27,Man,2,CMD,6/30/2015,1,MBO,?,80.0,55,65,?
469285,3,Arnhem,2014,CMD,241,24,Man,1,CMD,6/30/2015,1,HAVO,1,77.8,55,62,?
469757,2,Arnhem,2014,CMD,221,22,Vrouw,2,CMD,6/30/2015,1,HAVO,1,24.4,80,68,?
469946,20,Nijmegen,2014,CMD,232,24,Man,2,CMD,6/30/2015,1,HAVO,1,75.9,83,65,?
470014,21,Nijmegen,2014,CMD,260,26,Man,1,CMD,6/30/2015,1,HAVO,1,80.0,76,75,?
470019,26,Ede Wageningen,2014,CMD,219,24,Man,4,CMD,6/27/2016,1,HAVO,1,77.8,73,55,?
470240,60,Westen,2014,CMD,235,24,Man,2,CMD,6/27/2016,1,HAVO,1,67.4,63,43,?
470432,22,Nijmegen,2014,CMD,256,27,Vrouw,4,CMD,6/27/2016,1,MBO,?,51.4,75,69,?
470552,3,Arnhem,2014,CMD,259,35,Man,1,CMD,6/30/2015,1,MBO,?,53.5,40,67,?
470816,24,Apeldoorn,2014,CMD,242,35,Man,3,CMD,6/27/2016,1,MBO,?,34.6,50,68,?
471539,4,Zevenaar,2014,CMD,297,27,Man,1,Niet Behaald,0,0,MBO,?,73.3,45,54,?
471741,41,Den Bosch Eindhoven,2014,CMD,286,35,Vrouw,2,Niet Behaald,0,0,MBO,?,9.1,75,50,?
471765,13,Zevenaar,2017,CMD,284,31,Man,2,Niet Behaald,0,0,HAVO,1,62.1,60,60,0
472182,30,Veenendaal,2014,CMD,274,27,Vrouw,2,Niet Behaald,0,0,MBO,?,20.7,73,68,?
472254,25,Nijmegen,2014,CMD,243,27,Man,3,CMD,6/27/2016,1,HAVO,1,36.7,42,61,?
472363,24,Apeldoorn,2015,CMD,266,30,Man,1,Niet Behaald,0,0,MBO,?,64.3,55,59,?
472525,7,Arnhem,2014,CMD,277,22,Man,2,CMD,6/27/2016,1,MBO,?,30.9,50,53,?
473303,17,Nijmegen,2014,CMD,225,25,Man,3,CMD,6/30/2015,1,HAVO,1,63.0,66,66,?
473564,2,Arnhem,2015,CMD,248,31,Man,3,CMD,6/27/2018,1,HAVO,1,53.6,90,51,?
474907,3,Arnhem,2014,CMD,228,35,Man,1,Niet Behaald,0,0,HAVO,1,42.9,40,48,?
475028,82,Westen,2014,CMD,242,35,Vrouw,1,CMD,6/30/2015,1,VWO,1,53.5,40,69,?
475101,4,Arnhem,2014,CMD,261,22,Vrouw,1,CMD,6/30/2015,1,HAVO,1,70.7,85,82,?
475120,4,Arnhem,2014,CMD,246,22,Man,1,Niet Behaald,0,0,HAVO,1,22.2,50,69,?
475121,1,Arnhem,2014,CMD,234,22,Vrouw,1,Niet Behaald,0,0,Buitenlands,?,8.2,55,39,?
475453,0,Arnhem,2014,CMD,257,27,Vrouw,1,CMD,6/30/2015,1,MBO,?,81.9,80,75,?
476013,39,Doetinchem,2014,CMD,240,35,Man,1,CMD,6/30/2015,1,MBO,?,80.0,65,72,?
476030,70,Noord Gld Overijssel,2014,CMD,275,27,Vrouw,1,CMD,6/30/2015,1,VWO,1,94.4,80,76,?
476034,3,Arnhem,2014,CMD,238,35,Man,1,CMD,6/30/2015,1,MBO,?,88.2,70,76,?
476035,29,Doetinchem,2014,CMD,244,35,Man,1,CMD,6/30/2015,1,MBO,?,94.1,70,78,?
476037,22,Ede Wageningen,2014,CMD,241,22,Vrouw,1,CMD,6/30/2015,1,Buitenlands,?,82.9,85,79,?
476060,20,Ede Wageningen,2014,CMD,239,26,Man,1,CMD,6/27/2016,1,MBO,?,78.9,75,75,?
476256,3,Arnhem,2014,CMD,246,22,Man,1,CMD,6/30/2015,1,HAVO,1,70.7,65,67,?
476443,46,Winterswijk,2014,CMD,203,25,Vrouw,1,CMD,6/30/2015,1,HAVO,1,78.1,86,80,?
476471,6,Arnhem,2014,CMD,243,28,Vrouw,1,CMD,6/30/2015,1,VWO,1,72.5,76,77,?
476571,26,Apeldoorn,2014,CMD,251,35,Man,1,CMD,6/30/2015,1,MBO,?,53.5,60,66,?
476575,37,Noord Gld Overijssel,2014,CMD,256,35,Man,1,CMD,6/30/2015,1,MBO,?,100.0,70,70,?
476802,90,Westen,2014,CMD,221,29,Man,1,CMD,6/30/2015,1,HAVO,1,89.9,70,71,?
476986,0,Arnhem,2014,CMD,214,27,Vrouw,2,CMD,6/30/2015,1,HAVO,1,100.0,76,81,?
477362,34,Deventer,2014,CMD,320,35,Man,1,Niet Behaald,0,0,MBO,?,0.0,75,73,?
477372,17,Nijmegen,2014,CMD,269,29,Man,1,Niet Behaald,0,0,MBO,?,1.3,0,0,?
477422,19,Nijmegen,2014,CMD,244,35,Man,1,CMD,6/27/2016,1,HAVO,1,71.4,70,43,?
477756,31,Utrecht,2014,CMD,215,35,Man,1,CMD,6/30/2015,1,HAVO,1,83.3,75,72,?
477768,28,Apeldoorn,2014,CMD,263,26,Man,1,Niet Behaald,0,0,HAVO,1,31.6,0,0,?
477776,60,Deventer,2014,CMD,261,18,Vrouw,1,CMD,6/30/2015,1,MBO,1,66.7,75,77,?
477787,9,Nijmegen,2014,CMD,247,27,Vrouw,1,CMD,6/30/2015,1,MBO,?,86.2,49,73,?
478069,20,Nijmegen,2014,CMD,214,25,Man,1,Niet Behaald,0,0,HAVO,1,23.9,79,67,?
478083,20,Nijmegen,2014,CMD,205,26,Vrouw,1,CMD,6/27/2016,1,HAVO,1,53.3,52,68,?
478127,2,Arnhem,2015,CMD,223,29,Vrouw,4,CMD,6/30/2017,1,HAVO,1,74.4,55,64,?
478252,72,Noord Gld Overijssel,2014,CMD,222,35,Vrouw,1,CMD,6/27/2016,1,HAVO,1,42.1,75,70,?
478458,44,Veenendaal,2014,CMD,232,35,Vrouw,1,CMD,6/30/2015,1,VWO,1,86.7,90,76,?
478803,92,Zuiden,2014,CMD,230,27,Man,4,Niet Behaald,0,0,HAVO,1,22.4,66,60,?
478819,14,Nijmegen,2014,CMD,217,27,Man,2,Niet Behaald,0,0,HAVO,1,4.5,52,52,?
478916,14,Nijmegen,2014,CMD,228,29,Man,1,CMD,6/27/2016,1,HAVO,1,74.7,70,60,?
479198,2,Arnhem,2014,CMD,222,22,Man,1,CMD,6/27/2016,1,HAVO,1,42.6,60,63,?
479680,59,Westen,2014,CMD,207,27,Man,1,CMD,6/27/2016,1,HAVO,1,72.2,60,58,?
479773,13,Zevenaar,2014,CMD,223,27,Vrouw,1,CMD,6/27/2016,1,HAVO,1,84.7,70,72,?
479788,2,Arnhem,2014,CMD,262,28,Man,1,CMD,6/27/2016,1,MBO,?,76.5,73,72,?
480010,49,Noorden,2014,CMD,230,27,Man,1,CMD,6/30/2015,1,VWO,1,93.1,60,65,?
480254,16,Nijmegen,2014,CMD,233,25,Vrouw,1,CMD,6/30/2015,1,HAVO,1,83.6,83,70,?
480338,29,Den Bosch Eindhoven,2014,CMD,205,27,Man,1,CMD,6/27/2016,1,HAVO,1,65.3,55,58,?
480427,17,Doetinchem,2014,CMD,224,29,Man,1,Niet Behaald,0,0,HAVO,1,84.8,65,62,?
480433,21,Doetinchem,2014,CMD,211,27,Man,1,Niet Behaald,0,0,VWO,1,66.7,55,56,?
480493,4,Arnhem,2016,CMD,235,25,Man,1,Niet Behaald,0,0,HAVO,1,20.4,0,0,0
480559,26,Apeldoorn,2015,CMD,233,30,Vrouw,3,CMD,6/27/2016,1,HAVO,0,77.8,100,78,?
480616,11,Zevenaar,2014,CMD,254,27,Vrouw,1,CMD,6/30/2015,1,MBO,?,75.0,70,75,?
480630,29,Doetinchem,2014,CMD,250,26,Vrouw,1,CMD,6/27/2016,1,HAVO,1,41.7,62,70,?
480647,39,Deventer,2014,CMD,216,26,Man,1,Niet Behaald,0,0,HAVO,1,55.3,55,55,?
480651,1,Arnhem,2014,CMD,258,25,Vrouw,1,CMD,6/30/2015,1,MBO,?,67.1,73,74,?
480657,18,Nijmegen,2014,CMD,216,27,Man,1,Niet Behaald,0,0,HAVO,1,67.2,38,38,?
480703,55,Zuiden,2014,CMD,206,27,Vrouw,1,Niet Behaald,0,0,HAVO,1,5.7,80,77,?
480704,48,Winterswijk,2014,CMD,233,26,Vrouw,1,Niet Behaald,0,0,MBO,?,13.3,80,61,?
480858,2,Arnhem,2014,CMD,213,26,Vrouw,1,CMD,6/30/2015,1,HAVO,1,89.5,75,75,?
481227,6,Arnhem,2016,CMD,240,31,Vrouw,3,CMD,6/27/2018,1,HAVO,1,59.4,60,73,0
481392,48,Den Bosch Eindhoven,2014,CMD,216,27,Vrouw,1,CMD,6/27/2016,1,HAVO,1,76.1,83,77,?
481730,22,Doetinchem,2014,CMD,221,27,Vrouw,1,CMD,6/30/2015,1,HAVO,1,72.4,59,65,?
481753,34,Apeldoorn,2014,CMD,217,27,Vrouw,1,CMD,6/30/2015,1,HAVO,1,73.6,90,77,?
481785,8,Arnhem,2017,CMD,258,29,Man,2,CMD,6/27/2018,1,MBO,?,82.2,75,78,0
481816,50,Zuiden,2014,CMD,204,26,Man,2,CMD,6/30/2015,1,HAVO,1,73.7,75,70,?
481857,2,Arnhem,2014,CMD,242,26,Man,1,Niet Behaald,0,0,Anders,?,57.9,0,0,?
481956,2,Arnhem,2014,CMD,206,34,Man,2,INF,6/30/2017,1,HAVO,1,34.2,72,68,?
481959,31,Utrecht,2014,CMD,219,25,Man,1,CMD,6/30/2015,1,VWO,1,71.2,86,71,?
482122,42,Winterswijk,2014,CMD,206,29,Man,1,CMD,6/30/2015,1,HAVO,1,89.9,70,75,?
482145,21,Ede Wageningen,2015,CMD,241,31,Man,2,CMD,6/30/2017,1,HAVO,1,54.2,59,64,0
482214,24,Nijmegen,2014,CMD,221,26,Man,1,Niet Behaald,0,0,HAVO,1,1.7,59,35,?
482215,34,Deventer,2014,CMD,214,25,Man,1,CMD,6/30/2015,1,HAVO,1,68.5,66,70,?
482307,31,Apeldoorn,2014,CMD,221,25,Vrouw,1,Niet Behaald,0,0,HAVO,1,43.7,76,72,?
482354,19,Nijmegen,2015,CMD,231,29,Vrouw,1,CMD,6/27/2016,1,HAVO,0,80.6,60,66,?
482363,5,Arnhem,2014,CMD,205,26,Man,1,CMD,6/27/2016,1,HAVO,1,52.6,62,59,?
482438,4,Arnhem,2014,CMD,254,28,Vrouw,1,Niet Behaald,0,0,MBO,?,24.5,62,68,?
482514,0,Arnhem,2014,CMD,245,27,Man,1,CMD,6/27/2016,1,MBO,?,55.6,55,62,?
482598,11,Zevenaar,2014,CMD,225,27,Vrouw,1,CMD,6/30/2015,1,HAVO,1,84.7,40,60,?
482604,50,Zuiden,2014,CMD,250,27,Vrouw,1,CMD,6/30/2015,1,MBO,?,95.0,66,79,?
482738,17,Nijmegen,2014,CMD,220,26,Man,1,Niet Behaald,0,0,HAVO,1,30.0,52,55,?
482925,22,Nijmegen,2015,CMD,261,28,Man,2,CMD,6/30/2017,1,MBO,?,75.3,68,48,0
483034,2,Arnhem,2014,CMD,236,27,Man,3,CMD,6/27/2016,1,MBO,?,76.1,52,63,?
483120,54,Zuiden,2014,CMD,218,27,Man,1,Niet Behaald,0,0,HAVO,1,14.3,0,23,?
483267,127,Zuiden,2014,CMD,230,24,Man,1,CMD,6/27/2016,1,HAVO,1,81.5,66,69,?
483268,25,Noord Gld Overijssel,2015,CMD,238,30,Man,3,CMD,6/27/2018,1,HAVO,1,33.8,53,58,0
483327,38,Deventer,2014,CMD,207,28,Man,1,CMD,6/30/2017,1,HAVO,1,64.7,42,32,?
483340,4,Arnhem,2016,CMD,251,31,Man,3,CMD,6/30/2017,1,HAVO,1,75.0,83,70,0
483672,33,Utrecht,2014,CMD,233,27,Man,1,CMD,6/30/2015,1,HAVO,1,86.2,86,75,?
483691,67,Den Bosch Eindhoven,2014,CMD,262,33,Man,3,Niet Behaald,0,0,MBO,?,23.0,49,58,?
483695,19,Nijmegen,2014,CMD,227,26,Man,1,Niet Behaald,0,0,HAVO,1,19.0,52,44,?
483953,103,Westen,2014,CMD,220,27,Man,1,CMD,6/30/2015,1,HAVO,1,79.2,65,61,?
484034,10,Nijmegen,2014,CMD,245,26,Vrouw,1,CMD,6/30/2015,1,MBO,?,81.6,55,55,?
484036,19,Ede Wageningen,2014,CMD,241,28,Man,1,Niet Behaald,0,0,MBO,?,68.6,59,65,?
484038,26,Veenendaal,2014,CMD,243,28,Man,1,Niet Behaald,0,0,MBO,?,27.5,62,51,?
484106,19,Nijmegen,2014,CMD,211,28,Vrouw,1,CMD,6/27/2016,1,HAVO,1,94.1,59,64,?
484120,0,Arnhem,2016,CMD,245,28,Man,1,Niet Behaald,0,0,HAVO,1,56.2,80,61,0
484132,20,Nijmegen,2014,CMD,208,27,Man,1,CMD,6/27/2016,1,HAVO,1,74.1,66,72,?
484160,19,Ede Wageningen,2014,CMD,213,24,Man,1,Niet Behaald,0,0,HAVO,1,53.9,52,60,?
484241,29,Doetinchem,2014,CMD,266,27,Man,2,CMD,6/27/2016,1,MBO,?,69.6,38,58,?
484304,55,Winterswijk,2014,CMD,220,29,Man,1,CMD,6/27/2016,1,HAVO,1,82.3,65,64,?
484348,33,Deventer,2014,CMD,211,27,Man,1,CMD,6/30/2015,1,HAVO,1,90.0,79,81,?
484456,31,Doetinchem,2014,CMD,226,25,Vrouw,1,CMD,6/30/2015,1,HAVO,1,84.9,86,75,?
484535,9,Zevenaar,2014,CMD,215,25,Man,1,CMD,6/30/2015,1,HAVO,1,82.2,90,72,?
484583,6,Zevenaar,2014,CMD,243,26,Man,1,CMD,6/30/2015,1,MBO,?,73.7,75,75,?
484594,125,Zuiden,2014,CMD,308,27,Man,1,CMD,6/30/2015,1,Anders,?,75.9,69,65,?
484639,16,Nijmegen,2014,CMD,252,26,Man,3,CMD,6/30/2015,1,MBO,?,60.5,59,66,?
484694,10,Nijmegen,2014,CMD,212,25,Man,3,INF,6/30/2015,1,HAVO,1,98.2,80,66,?
484705,9,Zevenaar,2014,CMD,242,27,Man,1,CMD,6/30/2015,1,MBO,?,93.1,70,76,?
484803,2,Arnhem,2014,CMD,214,26,Man,1,CMD,6/27/2016,1,HAVO,1,65.8,79,65,?
484823,69,Noord Gld Overijssel,2014,CMD,247,26,Man,1,CMD,6/30/2015,1,MBO,?,58.3,59,74,?
484894,25,Apeldoorn,2014,CMD,245,26,Man,1,CMD,6/30/2015,1,MBO,?,63.3,76,70,?
485060,72,Zuiden,2014,CMD,229,28,Man,1,CMD,8/31/2017,1,HAVO,1,27.5,49,60,?
485093,16,Nijmegen,2014,CMD,231,27,Man,1,CMD,6/27/2016,1,HAVO,1,83.3,62,68,?
485191,3,Arnhem,2014,CMD,256,27,Man,1,CMD,6/27/2016,1,HAVO,1,53.4,52,69,?
485605,114,Westen,2015,CMD,241,29,Vrouw,1,CMD,6/27/2016,1,MBO,?,63.0,85,68,?
485606,4,Zevenaar,2014,CMD,276,27,Vrouw,1,CMD,6/27/2016,1,MBO,?,84.8,45,72,?
485624,58,Utrecht,2014,CMD,236,28,Man,1,CMD,6/27/2016,1,MBO,?,60.8,62,72,?
485693,37,Noord Gld Overijssel,2014,CMD,244,29,Vrouw,1,CMD,6/30/2015,1,MBO,?,93.7,85,78,?
485695,56,Den Bosch Eindhoven,2014,CMD,204,27,Man,1,CMD,6/30/2015,1,HAVO,1,56.9,70,64,?
485732,69,Noord Gld Overijssel,2014,CMD,219,24,Man,1,Niet Behaald,0,0,HAVO,1,30.8,62,45,?
485761,20,Nijmegen,2014,CMD,222,24,Man,1,Niet Behaald,0,0,VWO,1,40.4,45,45,?
485775,11,Nijmegen,2014,CMD,211,25,Vrouw,1,CMD,6/30/2015,1,HAVO,1,84.9,69,74,?
485778,43,Den Bosch Eindhoven,2016,CMD,289,31,Vrouw,3,Niet Behaald,0,0,MBO,?,14.6,41,8,0
485786,3,Arnhem,2014,CMD,239,26,Vrouw,1,CMD,6/30/2015,1,HAVO,1,76.7,69,74,?
485883,16,Nijmegen,2016,CMD,246,31,Man,2,Niet Behaald,0,0,HAVO,1,57.8,60,62,0
485886,101,Westen,2014,CMD,224,27,Vrouw,1,CMD,6/30/2015,1,VWO,1,84.8,83,80,?
485914,16,Nijmegen,2014,CMD,254,29,Vrouw,1,CMD,6/30/2015,1,VWO,1,45.6,80,82,?
485947,25,Apeldoorn,2014,CMD,244,27,Man,1,Niet Behaald,0,0,MBO,?,63.0,35,54,?
485955,4,Arnhem,2014,CMD,260,27,Man,1,CMD,6/30/2015,1,HAVO,1,63.8,59,70,?
485977,20,Ede Wageningen,2014,CMD,242,28,Man,1,CMD,6/30/2015,1,VWO,1,94.1,66,72,?
486004,8,Zevenaar,2014,CMD,264,24,Vrouw,1,CMD,6/30/2015,1,MBO,?,74.1,79,67,?
486057,27,Veenendaal,2014,CMD,221,29,Vrouw,1,CMD,6/30/2015,1,HAVO,0,46.8,65,75,?
486073,21,Nijmegen,2014,CMD,245,24,Man,1,CMD,6/30/2015,1,MBO,?,88.9,62,73,?
486109,3,Arnhem,2014,CMD,272,25,Man,1,CMD,6/30/2015,1,MBO,?,84.9,52,61,?
486149,102,Westen,2014,CMD,225,26,Vrouw,1,CMD,6/30/2015,1,HAVO,1,89.5,75,75,?
486180,25,Noord Gld Overijssel,2014,CMD,221,27,Man,1,CMD,6/30/2015,1,HAVO,1,76.4,70,69,?
486182,59,Utrecht,2014,CMD,216,28,Man,1,CMD,6/30/2015,1,HAVO,1,82.4,55,62,?
486184,32,Nijmegen,2014,CMD,254,27,Man,1,Niet Behaald,0,0,MBO,?,37.5,42,53,?
486217,28,Noord Gld Overijssel,2014,CMD,244,27,Man,1,CMD,6/30/2015,1,MBO,?,56.7,42,71,?
486224,31,Utrecht,2014,CMD,248,26,Vrouw,1,CMD,6/30/2015,1,MBO,0,60.0,83,77,?
486233,5,Arnhem,2014,CMD,241,29,Man,1,CMD,6/30/2015,1,MBO,?,94.9,65,71,?
